osm_stop_position_id,osm_stop_area_group_id,osm_stop_area_id,osm_station_id,osm_entrance_ids,station_id,device_location,fare_location,name_cn,stop_code,amap_id,amap_name,adcode
n6127437140,osm_stop_area_group_id,r9608206,n6172173702,,318,150997049,150997049,海户屯,080057,amap_id,amap_name,adcode
n6127437142,osm_stop_area_group_id,r9608207,n6172173701,,319,150997047,150997047,木樨园,080055,amap_id,amap_name,adcode
n6127437144,osm_stop_area_group_id,r9608209,n6172173700,"n12616109620,n12616109621",198,150998577,150995128,永定门外,140049,amap_id,amap_name,adcode
n9346809407,osm_stop_area_group_id,r9608208,n6488102425,"n7149581578,n11708763977,n13626238784",317,150997043,150997043,天桥,080051,amap_id,amap_name,adcode
n6127436966,osm_stop_area_group_id,r4630725,n6172173698,"n7149581579,n7589864650,n7589864648,n7589864649",110,150996769,150995127,珠市口,070033,amap_id,amap_name,adcode
n9379477276,osm_stop_area_group_id,r13536003,n6724644886,"n1195696762,n1195696865,n1195696786,n9327480046,n2048053088,n2048053087,n2048053079,n9634711061",34,150995464,150995464,前门,020008,amap_id,amap_name,adcode
n9379477283,osm_stop_area_group_id,r1603635,n6617849503,"n1302986764,n1302986800,n1302986771,n1302986770,n1302986772,n1302986794",16,150997037,150995153,王府井,080045,amap_id,amap_name,adcode
n9379477286,osm_stop_area_group_id,r13623457,n9379477284,n10679111415,395,150997035,150997035,金鱼胡同,080043,amap_id,amap_name,adcode
n6172173743,osm_stop_area_group_id,r9925349,n6172173744,"n6784165939,n6784165940,n6784165941,n6784165947",316,150997033,150997033,中国美术馆,080041,amap_id,amap_name,adcode
n3058767839,osm_stop_area_group_id,r4010361,n6497773831,"n4400766338,n4400766341",87,150996519,150995113,南锣鼓巷,060039,amap_id,amap_name,adcode
n3058767837,osm_stop_area_group_id,r4010360,n5305505993,"n8805687981,n8805687980",139,150997029,150997029,什刹海,080037,amap_id,amap_name,adcode
n2093005588,osm_stop_area_group_id,r1650487,n5305505995,"n4253043927,n4253043925,n4253043929",26,150995473,150995053,鼓楼大街,020017,amap_id,amap_name,adcode
n5057476993,osm_stop_area_group_id,r8066744,n5448593092,n10137803561,138,150997025,150997025,安德里北街,080033,amap_id,amap_name,adcode
n2093005586,osm_stop_area_group_id,r2676663,n5305505996,"n6813718730,n6813701180,n7605950426,n2358646254,n7605950427",137,150998055,150995165,安华桥,120039,amap_id,amap_name,adcode
